MCS,Cell_ID,Cell_Type,Volume,TargetVolume,X_COM,Y_COM,Z_COM,requests_growth,requests_secretion,requests_dormancy,requests_phagocytosis,requests_compartmentalize,requests_fpp_link,requests_intracellular_model,requests_subcellular,behaviour_stats_secrete_uptake_active,behaviour_stats_secrete_uptake_active_since_mcs,behaviour_stats_secrete_uptake_activation_count,behaviour_stats_secrete_uptake_last_active_mcs,behaviour_stats_secrete_uptake_active_duration,behaviour_stats_secrete_uptake_inactive_duration,behaviour_stats_secrete_uptake_last_delta,behaviour_stats_secrete_uptake_total_delta,behaviour_stats_secrete_uptake_HostAssociatedCue_active,behaviour_stats_secrete_uptake_HostAssociatedCue_active_since_mcs,behaviour_stats_secrete_uptake_HostAssociatedCue_activation_count,behaviour_stats_secrete_uptake_HostAssociatedCue_last_active_mcs,behaviour_stats_secrete_uptake_HostAssociatedCue_interval_since_last,behaviour_stats_secrete_uptake_HostAssociatedCue_active_duration,behaviour_stats_secrete_uptake_HostAssociatedCue_last_delta,behaviour_stats_secrete_uptake_HostAssociatedCue_total_delta,behaviour_stats_secrete_uptake_last_field,behaviour_stats_secrete_uptake_last_mode,behaviour_stats_secrete_uptake_FungalSignal_active,behaviour_stats_secrete_uptake_FungalSignal_active_since_mcs,behaviour_stats_secrete_uptake_FungalSignal_activation_count,behaviour_stats_secrete_uptake_FungalSignal_last_active_mcs,behaviour_stats_secrete_uptake_FungalSignal_interval_since_last,behaviour_stats_secrete_uptake_FungalSignal_active_duration,behaviour_stats_secrete_uptake_FungalSignal_last_delta,behaviour_stats_secrete_uptake_FungalSignal_total_delta,behaviour_stats_chemotaxis_active,behaviour_stats_chemotaxis_active_since_mcs,behaviour_stats_chemotaxis_activation_count,behaviour_stats_chemotaxis_last_active_mcs,behaviour_stats_chemotaxis_active_duration,behaviour_stats_chemotaxis_inactive_duration,behaviour_stats_chemotaxis_field_name,behaviour_stats_chemotaxis_lambda,behaviour_stats_chemotaxis_formula,_chemotaxis_executed_mcs,"_internal_{""condition_type"": ""Logic_AND"", ""params"": {""conditions"": [{""condition_type"": ""Logic_OR"", ""params"": {""conditions"": [{""condition_type"": ""Contact"", ""params"": {""operator"": "">"", ""target_type"": ""FungusYeast"", ""threshold"": 0}}, {""condition_type"": ""Contact"", ""params"": {""operator"": "">"", ""target_type"": ""AttachedFungus"", ""threshold"": 0}}, {""condition_type"": ""Contact"", ""params"": {""operator"": "">"", ""target_type"": ""HyphaTip"", ""threshold"": 0}}, {""condition_type"": ""Contact"", ""params"": {""operator"": "">"", ""target_type"": ""HyphaSegment"", ""threshold"": 0}}, {""condition_type"": ""Contact"", ""params"": {""operator"": "">"", ""target_type"": ""HyphaRoot"", ""threshold"": 0}}]}}, {""condition_type"": ""Logic_OR"", ""params"": {""conditions"": [{""condition_type"": ""Environment"", ""params"": {""field_name"": ""FungalSignal"", ""operator"": "">"", ""sampling_mode"": ""boundary_max"", ""threshold"": 0.05}}, {""condition_type"": ""Environment"", ""params"": {""field_name"": ""DamageFactor"", ""operator"": "">"", ""sampling_mode"": ""boundary_max"", ""threshold"": 0.04}}]}}]}}","_internal_{""condition_type"": ""Logic_AND"", ""params"": {""conditions"": [{""condition_type"": ""Logic_OR"", ""params"": {""conditions"": [{""condition_type"": ""Contact"", ""params"": {""operator"": "">"", ""target_type"": ""AttachedFungus"", ""threshold"": 0}}, {""condition_type"": ""Contact"", ""params"": {""operator"": "">"", ""target_type"": ""HyphaTip"", ""threshold"": 0}}, {""condition_type"": ""Contact"", ""params"": {""operator"": "">"", ""target_type"": ""HyphaSegment"", ""threshold"": 0}}, {""condition_type"": ""Contact"", ""params"": {""operator"": "">"", ""target_type"": ""HyphaRoot"", ""threshold"": 0}}]}}, {""condition_type"": ""Logic_OR"", ""params"": {""conditions"": [{""condition_type"": ""Environment"", ""params"": {""field_name"": ""FungalSignal"", ""operator"": "">"", ""sampling_mode"": ""boundary_max"", ""threshold"": 0.08}}, {""condition_type"": ""Environment"", ""params"": {""field_name"": ""DamageFactor"", ""operator"": "">"", ""sampling_mode"": ""cell_average"", ""threshold"": 0.08}}]}}]}}",_internal_once_rules_11_root_seed_tip,"_internal_{""condition_type"": ""Logic_OR"", ""params"": {""conditions"": [{""condition_type"": ""Contact"", ""params"": {""operator"": "">"", ""target_type"": ""HostCell"", ""threshold"": 0}}, {""condition_type"": ""Contact"", ""params"": {""operator"": "">"", ""target_type"": ""DamagedHostCell"", ""threshold"": 0}}, {""condition_type"": ""Contact"", ""params"": {""operator"": "">"", ""target_type"": ""InterstitialSpace"", ""threshold"": 0}}]}}",behaviour_stats_type_switch_count,behaviour_stats_type_switch_first_mcs,behaviour_stats_type_switch_last_mcs,behaviour_stats_type_switch_interval_since_last,behaviour_stats_type_switch_from_type,behaviour_stats_type_switch_to_type,compartment_enabled,compartment_cluster_id,compartment_action_mcs,is_compartment_tip,is_hypha_tip,orientation_x,orientation_y,orientation_z,hypha_length,branch_count,tip_seed_mcs
0,2,1,144,160.0,35.5,39.5,0.0,[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2,1,158,160.0,35.60126582278481,37.84177215189873,0.0,[],[],[],[],[],[],[],[],True,0.0,1.0,50.0,153.0,0.0,0.0005,0.07650000000000005,True,0.0,1.0,50.0,0.0,153.0,0.0005,0.07650000000000005,HostAssociatedCue,secreteInsideCellAtCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2,1,158,160.0,35.88607594936709,38.24683544303797,0.0,[],[],[],[],[],[],[],[],True,0.0,1.0,100.0,303.0,0.0,0.0005,0.1515000000000001,True,0.0,1.0,100.0,0.0,303.0,0.0005,0.1515000000000001,HostAssociatedCue,secreteInsideCellAtCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2,1,158,160.0,36.70886075949367,38.45569620253165,0.0,[],[],[],[],[],[],[],[],True,0.0,1.0,150.0,453.0,0.0,0.0005,0.22650000000000017,True,0.0,1.0,150.0,0.0,453.0,0.0005,0.22650000000000017,HostAssociatedCue,secreteInsideCellAtCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2,1,158,160.0,36.962025316455694,38.75316455696203,0.0,[],[],[],[],[],[],[],[],True,0.0,1.0,200.0,603.0,0.0,0.0005,0.3015000000000002,True,0.0,1.0,200.0,0.0,603.0,0.0005,0.3015000000000002,HostAssociatedCue,secreteInsideCellAtCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,2,1,156,160.0,37.07051282051282,38.43589743589744,0.0,[],[],[],[],[],[],[],[],True,0.0,1.0,250.0,753.0,0.0,0.0005,0.3765000000000003,True,0.0,1.0,250.0,0.0,753.0,0.0005,0.3765000000000003,HostAssociatedCue,secreteInsideCellAtCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,2,1,158,160.0,37.550632911392405,39.550632911392405,0.0,[],[],[],[],[],[],[],[],True,0.0,1.0,300.0,903.0,0.0,0.0005,0.45150000000000035,True,0.0,1.0,300.0,0.0,903.0,0.0005,0.45150000000000035,HostAssociatedCue,secreteInsideCellAtCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,2,1,155,160.0,37.645161290322584,38.24516129032258,0.0,[],[],[],[],[],[],[],[],True,0.0,1.0,350.0,1053.0,0.0,0.0005,0.5264999999999974,True,0.0,1.0,350.0,0.0,1053.0,0.0005,0.5264999999999974,HostAssociatedCue,secreteInsideCellAtCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,2,1,155,160.0,37.83225806451613,37.6258064516129,0.0,[],[],[],[],[],[],[],[],True,0.0,1.0,400.0,1203.0,0.0,0.0005,0.6014999999999892,True,0.0,1.0,400.0,0.0,1203.0,0.0005,0.6014999999999892,HostAssociatedCue,secreteInsideCellAtCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,2,1,155,160.0,37.883870967741935,37.83870967741935,0.0,[],[],[],[],[],[],[],[],True,0.0,1.0,450.0,1353.0,0.0,0.0005,0.6764999999999809,True,0.0,1.0,450.0,0.0,1353.0,0.0005,0.6764999999999809,HostAssociatedCue,secreteInsideCellAtCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2,1,157,160.0,37.6687898089172,36.99363057324841,0.0,[],[],[],[],[],[],[],[],True,0.0,1.0,500.0,1503.0,0.0,0.0005,0.7514999999999726,True,0.0,1.0,500.0,0.0,1503.0,0.0005,0.7514999999999726,HostAssociatedCue,secreteInsideCellAtCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,2,1,162,160.0,38.48765432098765,36.870370370370374,0.0,[],[],[],[],[],[],[],[],True,0.0,1.0,550.0,1653.0,0.0,0.0005,0.8264999999999644,True,0.0,1.0,550.0,0.0,1653.0,0.0005,0.8264999999999644,HostAssociatedCue,secreteInsideCellAtCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,2,1,157,160.0,38.038216560509554,37.095541401273884,0.0,[],[],[],[],[],[],[],[],True,0.0,1.0,600.0,1803.0,0.0,0.0005,0.9014999999999561,True,0.0,1.0,600.0,0.0,1803.0,0.0005,0.9014999999999561,HostAssociatedCue,secreteInsideCellAtCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,2,1,159,160.0,39.22012578616352,37.0503144654088,0.0,[],[],[],[],[],[],[],[],True,0.0,1.0,650.0,1953.0,0.0,0.0005,0.9764999999999479,True,0.0,1.0,650.0,0.0,1953.0,0.0005,0.9764999999999479,HostAssociatedCue,secreteInsideCellAtCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
