MCS,cells,mean_component_assembled_pore,mean_component_assembly_sites,mean_component_channel_complex,mean_component_connecting_complex,mean_component_nup188_inner_ring,mean_component_nup205_inner_ring,mean_component_y_complex,mean_localization_cytoplasm,mean_localization_nuclear_envelope,stage_fraction_channel_complex,stage_fraction_connecting_complex,stage_fraction_inner_ring,stage_fraction_mature,stage_fraction_none,stage_fraction_seed,stage_fraction_y_complex_scaffold,total_component_assembled_pore,total_component_assembly_sites,total_component_channel_complex,total_component_connecting_complex,total_component_nup188_inner_ring,total_component_nup205_inner_ring,total_component_y_complex
0.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9679752066115652,0.03202479338842993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9679752066115652,0.03202479338842993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9342975206611507,0.06570247933884345,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9342975206611507,0.06570247933884345,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9028925619834678,0.09710743801652882,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9028925619834678,0.09710743801652882,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8692148760330578,0.1307851239669422,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275.0,484.0,0.0,0.024793388429752067,0.0,0.0,0.0,0.0,0.0,0.8692148760330578,0.1307851239669422,0.0,0.0,0.0,0.0,0.9752066115702479,0.024793388429752067,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
300.0,484.0,0.0,0.04132231404958678,0.0,0.0,0.0,0.0,0.03305785123966942,0.8380165289256217,0.16198347107438044,0.0,0.0,0.0,0.0,0.9586776859504132,0.04132231404958678,0.0,0.0,20.0,0.0,0.0,0.0,0.0,16.0
325.0,484.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.08264462809917356,0.8380165289256217,0.16198347107438044,0.0,0.0,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0,44.0,0.0,0.0,0.0,0.0,40.0
350.0,484.0,0.0,0.11983471074380166,0.0,0.0,0.0,0.0,0.14049586776859505,0.8072314049586805,0.19276859504132296,0.0,0.0,0.0,0.0,0.8801652892561983,0.11983471074380166,0.0,0.0,58.0,0.0,0.0,0.0,0.0,68.0
